SpireID,Dept,Number,Days,StartTime,EndTime,Associated,SectionNum,PrimaryClass,Instructor,CourseName,GenEd,MinCredit,MaxCredit
"30674","Animal Science","ANIMLSCI  521","W","11:15:00AM","1:10:00PM","","L01","false","","Physiol Of Reprod","","4.00","4.00"
"30675","Animal Science","ANIMLSCI  521","TH","1:25:00PM","3:20:00PM","","L02","false","","Physiol Of Reprod","","4.00","4.00"
"30676","Animal Science","ANIMLSCI  521","TH","3:35:00PM","5:30:00PM","","L03","false","","Physiol Of Reprod","","4.00","4.00"
"30687","Animal Science","ANIMLSCI  585","MWF","2:30:00PM","3:20:00PM","","01","true","","Animal & Envirnmntl Toxicology","","4.00","4.00"
"30667","Animal Science","ANIMLSCI  596","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","4.00","4.00"
"30668","Animal Science","ANIMLSCI  696","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","4.00","4.00"
"30694","Animal Science","ANIMLSCI  697G","F","4:00:00PM","5:00:00PM","","01","true","","ST-Cancer and Chemoprevention","","1.00","1.00"
"30669","Animal Science","ANIMLSCI  699","","1:00:00AM","1:00:00AM","","01","true","","Masters Thesis","","1.00","10.00"
"30670","Animal Science","ANIMLSCI  792","W","3:35:00PM","5:05:00PM","","01","true","","Seminar Animal Biotech&Biomed","","1.00","3.00"
"30677","Animal Science","ANIMLSCI  794A","F","12:20:00PM","1:30:00PM","","01","true","","Sem-J Club Immunology","","1.00","1.00"
"30678","Animal Science","ANIMLSCI  795A","TH","12:20:00PM","1:30:00PM","","01","true","","JournalClub in Cells,Genes&Dev","","1.00","1.00"
"30671","Animal Science","ANIMLSCI  796","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30672","Animal Science","ANIMLSCI  899","","1:00:00AM","1:00:00AM","","01","true","","Ph D Dissertation","","1.00","9.00"
"30784","Anthropology","ANTHRO  100","MW","11:15:00AM","12:05:00PM","","A","true","","Human Nature","","4.00","4.00"
"30785","Anthropology","ANTHRO  100","F","8:00:00AM","8:50:00AM","","AD01","false","","Human Nature","","4.00","4.00"
"30786","Anthropology","ANTHRO  100","W","12:20:00PM","1:10:00PM","","AD02","false","","Human Nature","","4.00","4.00"
"30787","Anthropology","ANTHRO  100","F","1:25:00PM","2:15:00PM","","AD03","false","","Human Nature","","4.00","4.00"
"30788","Anthropology","ANTHRO  100","TH","2:30:00PM","3:20:00PM","","AD04","false","","Human Nature","","4.00","4.00"
"30789","Anthropology","ANTHRO  100","F","9:05:00AM","9:55:00AM","","AD05","false","","Human Nature","","4.00","4.00"
"30790","Anthropology","ANTHRO  100","F","10:10:00AM","11:00:00AM","","AD06","false","","Human Nature","","4.00","4.00"
"30791","Anthropology","ANTHRO  100","F","11:15:00AM","12:05:00PM","","AD07","false","","Human Nature","","4.00","4.00"
"30792","Anthropology","ANTHRO  100","TH","12:20:00PM","1:10:00PM","","AD08","false","","Human Nature","","4.00","4.00"
"30793","Anthropology","ANTHRO  100","TH","1:25:00PM","2:15:00PM","","AD09","false","","Human Nature","","4.00","4.00"
"39673","Anthropology","ANTHRO  100","TUTH","11:15:00AM","12:30:00PM","","B","true","","Human Nature","","4.00","4.00"
"30845","Anthropology","ANTHRO  102","MW","8:00:00AM","8:50:00AM","","01","true","","Archaeology and Prehistory","","4.00","4.00"
"30846","Anthropology","ANTHRO  102","F","12:20:00PM","1:10:00PM","","D01","false","","Archaeology and Prehistory","","4.00","4.00"
"30847","Anthropology","ANTHRO  102","W","1:25:00PM","2:15:00PM","","D02","false","","Archaeology and Prehistory","","4.00","4.00"
"30848","Anthropology","ANTHRO  102","TH","9:05:00AM","9:55:00AM","","D03","false","","Archaeology and Prehistory","","4.00","4.00"
"30849","Anthropology","ANTHRO  102","W","2:30:00PM","3:20:00PM","","D04","false","","Archaeology and Prehistory","","4.00","4.00"
"30850","Anthropology","ANTHRO  102","TH","10:10:00AM","11:00:00AM","","D05","false","","Archaeology and Prehistory","","4.00","4.00"
"30851","Anthropology","ANTHRO  102","TH","11:15:00AM","12:05:00PM","","D06","false","","Archaeology and Prehistory","","4.00","4.00"
"30718","Anthropology","ANTHRO  102","TH","8:00:00AM","8:50:00AM","","D07","false","","Archaeology and Prehistory","","4.00","4.00"
"30719","Anthropology","ANTHRO  102","TH","3:35:00PM","4:25:00PM","","D08","false","","Archaeology and Prehistory","","4.00","4.00"
"30720","Anthropology","ANTHRO  102","TH","4:40:00PM","5:30:00PM","","D09","false","","Archaeology and Prehistory","","4.00","4.00"
"30750","Anthropology","ANTHRO  103","MW","9:05:00AM","9:55:00AM","","A","true","","Human Origins and Variation","","4.00","4.00"
"30751","Anthropology","ANTHRO  103","W","12:20:00PM","1:10:00PM","","AD01","false","","Human Origins and Variation","","4.00","4.00"
"30752","Anthropology","ANTHRO  103","W","5:35:00PM","6:25:00PM","","AD02","false","","Human Origins and Variation","","4.00","4.00"
